index,Hotel_Name,city,lat,lng,avg_rating,review_count,dataset_total_reviews,noise_sentiment,location_sentiment,cleanliness_sentiment,staff_sentiment,value_sentiment,quiet_positive_rate,quiet_negative_rate,crowded_positive_rate,crowded_negative_rate,quiet_net,crowded_net,city_center_lat,city_center_lng,distance_from_center_km,distance_percentile_within_city,distance_from_center_pct,distance_sweet_spot,centrality_score,log_review_count,hidden_score_base,city_hidden_percentile
0,11 Cadogan Gardens,London,51.4936161,-0.1592347,0.7488541172751702,0.04013015184381779,0.021050099236182115,0.15216517228901127,0.3154738975134366,0.13099999909450882,0.4614475263604748,0.22487010549830194,0.08771929824561403,0.3157894736842105,0.07894736842105263,0.07894736842105263,0.18306636155606407,0.5,51.5073,-0.1277,2.660813853980109,0.475,47.5,0.95,0.525,0.0208316067702541,0.37778533277130816,0.5775
1,1K Hotel,Paris,48.8639318,2.3658744,0.5235235235235236,0.028199566160520606,0.03728874721837974,0.2648561982841149,0.2829809214578883,0.3171073010513311,0.27269246542748315,0.609188809364082,0.06172839506172839,0.14814814814814814,0.0,0.3333333333333333,0.21739130434782608,0.33333333333333337,48.8535,2.3484,1.726199054438694,0.20044052863436124,20.0,0.4008810572687225,0.7995594713656388,0.03661033525102118,0.34273243151026994,0.2577092511013216
2,25hours Hotel beim MuseumsQuartier,Vienna,48.2064745,16.3546297,0.7859965228386281,0.14316702819956614,0.25747278522884465,0.19508994464335452,0.2993378273209337,0.16663142619053883,0.3015298753826464,0.35203873015585907,0.03759398496240601,0.06015037593984962,0.06766917293233082,0.24812030075187969,0.22719843085975808,0.40977443609022557,48.2084,16.3725,1.341462054140485,0.47619047619047616,47.6,0.9523809523809523,0.5238095238095238,0.22910398079243302,0.3668085882223653,0.46938775510204084
3,41,London,51.4981471,-0.1436492,0.9325575575575578,0.024945770065075923,0.012088771275636012,0.20397249809014514,0.2142542351292829,0.09752317691623907,0.619614329907974,0.3335910874359195,0.06944444444444445,0.0,0.0,0.0,0.2717391304347826,0.5,51.5073,-0.1277,1.5015066443602454,0.20625,20.6,0.4125,0.79375,0.012016285670032075,0.46191886107293245,0.975
4,45 Park Lane Dorchester Collection,London,51.5063709,-0.1515359,0.9789789789789791,0.0032537960954446858,0.001503578516870151,0.1925133689839572,0.10982040504394344,0.31374158244672345,0.7321019905819509,0.28868459489646875,0.0,0.0,0.0,0.0,0.21739130434782608,0.5,51.5073,-0.1277,1.652916463458139,0.265,26.5,0.53,0.735,0.0015024492744866306,0.5095969440767075,1.0
5,88 Studios,London,51.4992789,-0.2090733,0.7009187405227009,0.10845986984815618,0.054850544295423104,0.20121760464972457,0.2923965755310542,0.3629345493564261,0.2521301705451078,0.5099111299565389,0.06600660066006601,0.27722772277227725,0.0297029702970297,0.3564356435643564,0.17864829961256995,0.3366336633663366,51.5073,-0.1277,5.702473076788583,0.855,85.5,0.29000000000000004,0.14500000000000002,0.05339909271775841,0.3823961243416663,0.61
6,9Hotel Republique,Paris,48.8708419,2.3605864,0.7366189719130896,0.03579175704989154,0.048956516509292114,0.267132521457781,0.28110997724780906,0.2946014302708777,0.3299588061356815,0.30769556039616636,0.09803921568627451,0.0,0.0,0.0,0.29411764705882354,0.5,48.8535,2.3484,2.1244208212814537,0.3303964757709251,33.0,0.6607929515418502,0.6696035242290749,0.04779587622828908,0.3978737391336719,0.552863436123348
7,A La Villa Madame,Paris,48.8488608,2.3315257,0.745645645645646,0.009761388286334056,0.008540325975822459,0.3483575248281131,0.4325336899757992,0.18275709909637206,0.32978920865415584,0.28868459489646875,0.16666666666666669,0.0,0.0,0.0,0.34782608695652173,0.5,48.8535,2.3484,1.338094149731141,0.14317180616740088,14.3,0.28634361233480177,0.8568281938325991,0.008504063706730125,0.40710801764097454,0.5947136563876652
8,ABaC Restaurant Hotel Barcelona GL Monumento,Barcelona,41.4106944,2.136294,0.5217717717717718,0.0032537960954446858,0.00408973356588681,0.5076394194041253,0.31219717233473443,0.2559354194774608,0.2981685592487886,0.28868459489646875,0.4166666666666667,0.0,0.0,0.0,0.5434782608695652,0.5,41.3825,2.1769,4.6152894753591776,0.9278846153846154,92.8,0.14423076923076916,0.07211538461538458,0.0040813933373754704,0.35029517733713306,0.3317307692307692
9,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Barcelona,41.4101306,2.2188047,0.6555502871292347,0.060737527114967466,0.09123714440368076,0.21270198669579474,0.2481561554716835,0.153929374560625,0.20687414856098785,0.3650551759586267,0.05847953216374269,0.0,0.0,0.05263157894736842,0.2631578947368421,0.4736842105263158,41.3825,2.1769,4.653752480728351,0.9326923076923077,93.3,0.13461538461538458,0.06730769230769229,0.0873120474870992,0.32637976509789945,0.1346153846153846
